﻿Раздел;№;Мероприятие;Ответственный;Срок;Статус;Детали
Цель;;Цель плана;Проектный офис + Дата-команда (опер. владелец — Страхов К.М.);;;"Исключить повтор: некорректные данные с источника → падение/пропуск потоков ЕХД → неотправка в БКИ → алерты не отработали / не эскалированы"
Квота;;Квота задач с 01.08.2026;Дата-команда;01.08.2026;Решение;"Перераспределение: 70% бизнес / 30% технические (мониторинг, DQ, контракты, устойчивость)"
Логика;;Логика для топ-менеджмента;;;;"Сначала критерии успеха и линедж → техмониторинг + 10 глаз + Сит.центр → аудит блокеров валидации и критичный DQ → с 01.08 квота 30% на устойчивость → в горизонте года контракты и change management"
План;1;Зафиксировать критерии «успешной загрузки БКИ»;Страхов / Проектный офис;24.07.2026;В работе;"Явно описать: что считается успехом (полнота, срок до HH:MM, допустимость ошибок, эскалация). Базовый SLA для мониторинга и сит.центра. Без этого п.2–4 неинтерпретируемы"
План;2;Настроить линедж зависимостей БКИ;Страхов;24.07.2026;В работе;"Карта: источники → объекты/поля → ODS → витрины → расчёт/выгрузка БКИ. Признак «влияние на БКИ» на загрузках и в оперативном информировании. Основа для 10 глаз и критичных DQ"
План;3;Мониторинг статуса потоков до витрин БКИ;Страхов;27.07.2026;В работе;"Техконтроль «поток зелёный/жёлтый/красный» от источников до конечных витрин. Тест на исторических/синтетических сбоях (в т.ч. null/schema). Ежедневно: 10 глаз на БКИ (CORE + Support + Сит.центр + Риски), 6 глаз на прочие критичные"
План;4;Передать в Сит.центр live-индикатор БКИ;Страхов → Сит.центр;27.07.2026;В работе;"Обновление раз в 10 мин. Индикатор за дату до 14:00: зелёный/красный (и/или расширенная шкала Grafana). Запрос на мониторинг БКИ в Сит.центр оформлен и принят"
План;5;Grafana: виджет статуса БКИ с детализацией;Сит.центр (+ Страхов по данным);уточнить;уточнить;"Правило (черновик): до 10:00 без ошибок — зелёный; 10–12 или ≥1 ошибка — жёлтый; после 12 при ≥1 ошибке — красный. Детализация: поток, источник, тип ошибки, влияние на БКИ"
План;6;Передать внутренний мониторинг потоков ЕХД в Support;Страхов;27.07.2026;В работе;"Support ведёт первичную реакцию 24/7 или в окне SLA; Дата-команда — L2. Закрывает разрыв «алерт есть, но никто не смотрит»"
План;7;Аудит валидаций на источниках (блокер vs warning);Дата-команда / Страхов;31.07.2026 (предл.);Не начато;"Проверить по всем источникам БКИ, что проверки (аналог null в json→details→participants→…→block) не блокируют загрузку без явного решения. Каталог: блокер / warning / ignore"
План;8;Выгрузить структуры ODS как заготовку data contracts;Дата-команда;уточнить;Не начато;"Схемы всех таблиц/полей на контуре БКИ — основа контрактов «источник–ЕХД» и регрессионных проверок при изменениях"
План;9;"Разделить DQ на критичные / прочие; критичные — в мониторинг";Владелец продукта Data + Риски;уточнить;Не начато;"Критичные DQ = техконтроли п.3 (тот же контур алертов/эскалации). База: контроли Косенко по БКИ + DQI команды БКИ (дополнить, если не хватает)"
План;10;Передать контроли качества БКИ из Рисков в продуктовую Data;Владелец продукта Data / PO Рисков;уточнить;Не начато;"Единый реестр контролей, владельцы, пороги, реакция. Снять «серую зону» между Рисками и Data"
